username,firstname,lastname,institution,department,phone1,phone2
admin,christian,Rojas,ipae,lima,98092,987
profesor01,profesor,jirafales,ipae,ayacucho,98093,988
user001,user001,user001,ipae,arequipa,98094,989
user002,user002,user002,ipae,trujillo,98095,990
user003,user003,user003,ipae,pasco,98096,991
user004,user004,user004,ipae,lima,98097,992
user005,user005,user005,ipae,ayacucho,98098,993
user006,user006,user006,ipae,arequipa,98099,994
user007,user007,user007,ipae,trujillo,98100,995
user008,user008,user008,ipae,pasco,98101,996
user009,user009,user009,ipae,lima,98102,997
user010,user010,user010,ipae,ayacucho,98103,998
user011,user011,user011,ipae,arequipa,98104,999
user012,user012,user012,ipae,trujillo,98105,1000
user013,user013,user013,ipae,pasco,98106,1001
user014,user014,user014,ipae,lima,98107,1002
user015,user015,user015,ipae,ayacucho,98108,1003
user016,user016,user016,ipae,arequipa,98109,1004
user017,user017,user017,ipae,trujillo,98110,1005
user018,user018,user018,ipae,pasco,98111,1006
user019,user019,user019,ipae,lima,98112,1007
user020,user020,user020,ipae,ayacucho,98113,1008
user021,user021,user021,ipae,arequipa,98114,1009
user022,user022,user022,ipae,trujillo,98115,1010
user023,user023,user023,ipae,pasco,98116,1011
user024,user024,user024,ipae,lima,98117,1012
user025,user025,user025B,ipae,ayacucho,98118,1013
